"Title","Authors","Link","Year","Source title","Abstract","Author Keywords","Sponsors","Publisher","Conference name","Conference date","Conference location","Conference code","Document Type","Source"
"Recommendations as learning: From discrepancies to software improvement","Schneider K., GÃ¤rtner S., Wehrmaker T., BrÃ¼gge B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864650189&doi=10.1109%2fRSSE.2012.6233405&partnerID=40&md5=d546b130128c49559ccf2068797b4e8d",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Successful software development requires software engineering skills as well as domain and user knowledge. This knowledge is difficult to master. Increasing complexity and fast evolving technologies cause deficits in development and system behavior. They cause discrepancies between expectations and observations. We propose using discrepancies as a trigger for recommendations to developers. Discrepancies in using a software application are combined with discrepancies between development artifacts. To efficiently support software engineers, recommendations must consider knowledge bases of discrepancies and resolution options. They evolve over time along with evolving experience. Hence, recommendations and organizational learning are intertwined. Â© 2012 IEEE.","end-user feedback; heuristics; recommendation",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Automatically detecting architecturally-relevant code anomalies","Arcoverde R., Macia I., Garcia A., Von Staa A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864705125&doi=10.1109%2fRSSE.2012.6233419&partnerID=40&md5=88b05eea5baf13789ea4c2ee7217f56c",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Software architecture degradation is a longstanding problem in software engineering. Previous studies have shown that certain code anomalies - or patterns of code anomalies - are likely to be harmful to architecture design, although their identification is far from trivial. This study presents a system for not only detecting architecturally-relevant code anomalies, but also helping developers to prioritize their removal by ranking them. We detect code anomaly patterns based on static analysis that also exploit architecture information. Â© 2012 IEEE.","architectural problem; code anomaly; refactoring",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"A cost-benefit approach to recommending conflict resolution for parallel software development","Niu N., Yang F., Cheng J.-R.C., Reddivari S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864691696&doi=10.1109%2fRSSE.2012.6233403&partnerID=40&md5=520c5f98bad56abd5f5695a4dd275388",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Merging parallel versions of source code is a common and essential activity during the lifespan of large-scale software systems. When a non-trivial number of conflicts is detected, there is a need to support the maintainer in investigating and resolving these conflicts. In this paper, we contribute a cost-benefit approach to ranking the conflicting software entities by leveraging both structural and semantic information of the source code. We present a study by applying our approach to a legacy system developed by computational scientists. The study not only demonstrates the feasibility of our approach, but also sheds light on the future development of conflict resolution recommenders. Â© 2012 IEEE.","conflict resolution; cost-benefit analysis; recommendation; software merging",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Harnessing Stack Overflow for the IDE","Bacchelli A., Ponzanelli L., Lanza M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864646113&doi=10.1109%2fRSSE.2012.6233404&partnerID=40&md5=53e7e9b50e9200f38c9f964565a4e234",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Developers often consult online tutorials and message boards to find solutions to their programming issues. Among the many online resources, Question & Answer websites are gaining popularity. This is no wonder if we consider a case like Stack Overflow, where more than 92% questions on expert topics are answered in a median time of 11 minutes. This new resource has scarcely been acknowledged by any Integrated Development Environment (IDE): Even though developers spend a large part of their working time in IDEs, and the usage of Q&A services has dramatically increased, developers can only use such resources using external applications. We introduce Seahawk, an Eclipse plugin to integrate Stack Overflow crowd knowledge in the IDE. It allows developers to seamlessly access Stack Overflow data, thus obtaining answers without switching the context. We present our preliminary work on Seahawk: It allows users to (1) retrieve Q&A from Stack Overflow, (2) link relevant discussions to any source code in Eclipse, and (3) attach explanative comments to the links. Â© 2012 IEEE.","Q&A websites; Seahawk; Stack Overflow",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Interaction histories mining for software change guide","Kobayashi T., Kato N., Agusa K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864660209&doi=10.1109%2fRSSE.2012.6233415&partnerID=40&md5=d173e21e00cb4e310abadde340c21a60",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","This paper presents a prediction model for change propagation based on the developers' interaction history. Since artifacts have internal and external dependencies, a change will cause some changes on related artifacts. In order to guide change operations in software development, our proposed method generates a change guide graph by mining developers' interaction histories which consist of write and read accesses to artifacts. Using a change guide graph, we can guide change using the context of previous changes. To evaluate proposed change guide method, we perform a case study with an open-source software. We show that the context information is effective for file level and method level change predictions. Â© 2012 IEEE.",,,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Example overflow: Using social media for code recommendation","Zagalsky A., Barzilay O., Yehudai A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864720675&doi=10.1109%2fRSSE.2012.6233407&partnerID=40&md5=0901e0604cd500bb43521d0e769cd272",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Modern Q&A websites, such as Stack Overflow, use social media to provide concise answers, and offer rich technical context with quality assessment capabilities. Although some of the answers may include executable code snippets, they are entangled in free text and are not easily extracted. Q&A websites are not designed for such direct code reuse. We present Example Overflow, a code search and recommendation tool which brings together social media and code recommendation systems. Example Overflow enables crowd-sourced software development by utilizing both textual and social information, which accompany source code on the Web. Its browsing mechanism minimizes the context switch associated with other code search tools. In this paper we describe the development of the tool, provide preliminary evaluation, and discuss its contribution to an example centric programming paradigm. Â© 2012 IEEE.","code repository; code search; crowd-sourced software development; example centric programming; example embedding; example overflow; social recommendations; stack overflow",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Actionable identification of emergent teams in software development virtual organizations","Valetto G., Blincoe K., Goggins S.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864656981&doi=10.1109%2fRSSE.2012.6233401&partnerID=40&md5=587e60679569691067440af671413770",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","We present a method for identifying emergent teams of developers who need to work together and coordinate, within larger software development organizations. Our goal is to identify these socio-technical constructs as they emerge, so that we can provide timely awareness and actionable recommendations to managers, technical leads and members of the emergent team alike. Our technique is rooted in the analysis of Social Networks, which are constructed from real-time traces of the activity of each individual developer within her development environment, contextualized with respect to her assigned tasks and the corresponding artifact working set. Â© 2012 IEEE.","developers' coordination; Emergent teams; IDE interactions; Social Network Analysis; task contexts",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Recommending mentors to software project newcomers","Steinmacher I., Wiese I.S., Gerosa M.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864720070&doi=10.1109%2fRSSE.2012.6233413&partnerID=40&md5=cafdebe50e55ee3539aa11919475dbf8",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Open Source Software projects success depends on the continuous influx of newcomers and their contributions. Newcomers play an important role as they are the potential future developers, but they face difficulties and obstacles when initiating their interaction with a project, resulting in a high amount of withdrawals. This paper presents a recommendation system aiming to support newcomers finding the most appropriate project member to mentor them in a technical task. The proposed system uses temporal and social aspects of developer's behavior, in addition to recent contextual information to recommend the most suitable mentor at the moment. Â© 2012 IEEE.","mentor recommendation; newcomers; open source software; recommendation system",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Group recommendation algorithms for requirements prioritization","Felfernig A., Ninaus G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864717777&doi=10.1109%2fRSSE.2012.6233412&partnerID=40&md5=b5730d40b1cabac4225d2ef96f888a52",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Group recommendation is successfully applied in different domains such as Interactive Television, Ambient Intelligence, and e-Tourism. The focus of this paper is to analyze the applicability of group recommendation to requirements prioritization. We provide an overview of relevant group recommendation heuristics and report the results of an empirical study which focused on the analysis of the prediction quality of these heuristics. Â© 2012 IEEE.","Group Recommendation; Recommender Systems; Requirements Engineering; Requirements Prioritization",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Recommendation system for design patterns in software development: An DPR overview","Palma F., Farzin H., GuÃ©hÃ©neuc Y.-G., Moha N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864668269&doi=10.1109%2fRSSE.2012.6233399&partnerID=40&md5=d526860fc49860be856302353dac8b6f",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Software maintenance can become monotonous and expensive due to ignorance and misapplication of appropriate design patterns during the early phases of design and development. To have a good and reusable system, designers and developers must be aware of large information set and many quality concerns, e.g., design patterns. Systems with correct design pattern may ensure easy maintenance and evolution. However, without assistance, designing and development of software systems following certain design patterns is difficult for engineers. Recommendation systems for software engineering can assist designers and developers with a wide range of activities including suggesting design patterns. With the help of pattern recommenders, designers can come up with a reusable design. We provide a Design Pattern Recommender (DPR) process overview for software design to suggest design patterns, based on a simple Goal-Question-Metric (GQM) approach. Our prototype provides two-fold solution. In the primary-level, DPR only proposes one or more design patterns for a problem context, and in the secondary level, for a initial set of design, DPR refactors models and suggests design patterns. Our preliminary evaluation shows that DPR has a good trade-off between accuracy and procedural complexity, comparing to other state-of-the-art approaches. Â© 2012 IEEE.","Design pattern; Recommendation system; Software reuse",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"A comparison of recommender systems for mashup composition","Cremonesi P., Picozzi M., Matera M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864658224&doi=10.1109%2fRSSE.2012.6233411&partnerID=40&md5=98c09c055ccf941f950299b45b0cd3c6",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","Web mashups are a new generation of applications created by composing contents and functions available through Web services and APIs. A central activity in mashup development is the retrieval and selection of components to be included in the composition. The adoption of recommender systems can alleviate some of the difficulties arising in this activity. Based on the results of an empirical study, this paper tries to shed light on the application of recommender systems to the mashup composition domain, and discusses the performance of different recommendation systems when applied to a very large collection of mashups and mashup components. Â© 2012 IEEE.","APIs; Recommender systems; Web mashups",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Context-based recommendation to support problem solving in software development","Cordeiro J., Antunes B., Gomes P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864699655&doi=10.1109%2fRSSE.2012.6233418&partnerID=40&md5=3be5d46e3e840fd9a694baa45ff1069b",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","During the software development process, developers are often faced with problem solving situations. For instance, it is common the occurrence of exceptions, that originate stack traces in the Console View of the IDE. These situations motivate the developer to use the Web to search for information. However, there is a gap between the IDE and the Web, requiring developers to spend significant time searching for relevant information and navigating through web pages in a Web browser. We propose to process the information of exception stack traces and retrieve question-answering web resources to help developers. We developed a tool that integrates recommendation of question/answer web resources in Eclipse, according to the context of these exception stack traces. The results of a preliminary experimentation are promising, showing that our approach performs better than a simple keyword-based approach. Â© 2012 IEEE.","Context Modelling; Problem Solving; Recommendation Systems; Software Development",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Combining activity metrics and contribution topics for software recommendations","Christidis K., Paraskevopoulos F., Panagiotou D., Mentzas G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864678135&doi=10.1109%2fRSSE.2012.6233408&partnerID=40&md5=8a627e2ac5838445be087dbecdcf8f7d",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","In this paper we outline work in progress for the development of a recommender system for open source software development communities that takes into account information from multiple sources. Specifically our approach combines latent semantics of contributed information artifacts with quantitative metrics that indicate developer activity. Â© 2012 IEEE.","Recommender System; Semantic Analysis; Software Development; Topic Models",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Context-aware recommender systems for non-functional requirements","Danylenko A., LÃ¶we W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864706752&doi=10.1109%2fRSSE.2012.6233417&partnerID=40&md5=6882b409011f6ec6e933e18cf49b46a0",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","For large software projects, system designers have to adhere to a significant number of functional and non-functional requirements, which makes software development a complex engineering task. If these requirements change during the development process, complexity even increases. In this paper, we suggest recommendation systems based on context-aware composition to enable a system designer to postpone and automate decisions regarding efficiency non-functional requirements, such as performance, and focus on the design of the core functionality of the system instead. Context-aware composition suggests the optimal component variants of a system for different static contexts (e.g., software and hardware environment) or even different dynamic contexts (e.g., actual parameters and resource utilization). Thus, an efficiency non-functional requirement can be automatically optimized statically or dynamically by providing possible component variants. Such a recommender system reduces time and effort spent on manually developing optimal applications that adapts to different (static or dynamic) contexts and even changes thereof. Â© 2012 IEEE.","context-aware composition; context-aware recommender systems; nonfunctional requirements",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Connecting User Stories and code for test development","LandhÃ¤uÃŸer M., Genaid A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864720289&doi=10.1109%2fRSSE.2012.6233406&partnerID=40&md5=5eb8d7de4c55d3608d3086af74be31dd",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","User Stories are short feature descriptions from the user's point of view. Functional tests ensure that the feature described by a User Story is fully implemented. We present a tool that builds an ontology for code and links completed User Stories in natural language with the related code artifacts. The ontology also contains links to API components that were used to implement the functional tests. Preliminary results show that these links can be used to recommend reusable test steps for new User Stories. Â© 2012 IEEE.","code mining; functional testing; ontology; reasoning; traceability",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
"Extending recommendation systems with software maps","TrÃ¼mper J., DÃ¶llner J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864685249&doi=10.1109%2fRSSE.2012.6233420&partnerID=40&md5=c8c2dc0cdc0abbc9d31b0b06a66096f1",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","In practice, recommendation systems have evolved as helpful tools to facilitate and optimize software engineering processes. Serving both developers and managers, specific recommendation systems address their individual problems. Yet, in a number of cases complementing them with other techniques can enhance their use and extend their scope. In this paper, we first discuss different perspectives on software-engineering processes and examples of recommendation systems that support representatives of these perspectives. We then identify how select software-map techniques can extend recommendation systems to facilitate decision making by addressing the perspectives' information and communication needs. Â© 2012 IEEE.","Computer aided analysis; Context; Decision making; Visualization",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
